Timestamp,Protocol,Sender IP,Sender MAC,Target IP,Target MAC,Opcode
2024-11-08 17:13:22,ARP,65.26.92.1,00:07:0d:af:f4:54,65.26.95.99,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.218.255,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.251,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.175.227,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.223.252,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.194,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.218.63,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.172.35,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.197,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.145.164.129,00:07:0d:af:f4:54,24.145.164.165,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.197,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,69.76.216.1,00:07:0d:af:f4:54,69.76.221.116,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,65.28.78.1,00:07:0d:af:f4:54,65.28.78.162,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.198,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.174.4,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,67.52.222.1,00:07:0d:af:f4:54,67.52.222.107,00:00:00:00:00:00,1
2024-11-08 17:13:22,ARP,24.166.172.1,00:07:0d:af:f4:54,24.166.173.199,00:00:00:00:00:00,1
